DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2009-2010 Regular Season,10/27/09,Boston,Road,21,30,21,23,,,,,95,240,32,72,9,19,22,26,6,32,38,20,27,9,14,8,95,88.6,88.6,107.2,100.4,3+,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,Tony Brothers,Steve Javie,4.5,4.5,187.5,86 / 184.5 / 184,183.5,170,,,
2009-2010 Regular Season,10/27/09,Cleveland,Home,28,17,20,24,,,,,89,240,29,70,6,17,25,32,6,26,32,17,22,7,13,9,89,88.6,88.6,100.4,107.2,3+,L.James,A.Varejao,S.O`Neal,A.Parker,M.Williams,,Derek Richardson,187.5,-4.5,187.5,4.5,-5,-200,,Boxscore,Odds
2009-2010 Regular Season,10/27/09,Washington,Road,21,35,21,25,,,,,102,240,39,84,4,13,20,24,9,37,46,19,29,6,9,4,102,89.5,89.5,113.9,101.6,3+,C.Butler,F.Oberto,B.Haywood,M.Miller,G.Arenas,Ron Garretson,Michael Smith,8,8,205,07.5 / 208.5 / 209,210,320,,,
2009-2010 Regular Season,10/27/09,Dallas,Home,21,29,24,17,,,,,91,240,30,76,4,18,27,34,11,31,42,16,20,6,9,9,91,89.5,89.5,101.6,113.9,3+,S.Marion,D.Nowitzki,E.Dampier,Q.Ross,J.Kidd,,Haywoode Workman,205,-8,205,8  / -8.5  / -8,-8.5,-400,,Boxscore,Odds
2009-2010 Regular Season,10/27/09,Houston,Road,23,18,15,31,,,,,87,240,30,81,5,18,22,29,10,23,33,18,26,12,16,2,87,96.6,96.6,90.1,99.4,3+,S.Battier,L.Scola,C.Hayes,T.Ariza,A.Brooks,Monty McCutchen,Rodney Mott,10,10,188,86 / 187 / 187.5,188,400,,,
2009-2010 Regular Season,10/27/09,Portland,Home,23,31,21,21,,,,,96,240,33,77,10,21,20,22,12,39,51,23,27,9,26,12,96,96.6,96.6,99.4,90.1,3+,M.Webster,L.Aldridge,G.Oden,B.Roy,S.Blake,,Derrick Collins,188,-10,188,9.5  / -9  / -8.5,-9,-500,,Boxscore,Odds
2009-2010 Regular Season,10/27/09,LA Clippers,Road,22,27,26,17,,,,,92,240,39,87,3,15,11,16,15,36,51,27,27,10,20,4,92,97.5,97.5,94.4,101.6,3+,A.Thornton,M.Camby,C.Kaman,E.Gordon,B.Davis,Leroy Richardson,Bill Spooner,10.5,10.5,205.5,03.5 / 203 / 201.5,202,625,,,
2009-2010 Regular Season,10/27/09,LA Lakers,Home,32,27,17,23,,,,,99,240,35,85,4,17,25,37,17,30,47,17,15,13,16,4,99,97.5,97.5,101.6,94.4,3+,R.Artest,L.Odom,A.Bynum,K.Bryant,D.Fisher,,Bill Kennedy,205.5,-10.5,205.5,10.5  / -11  / -11.5,-12,-850,,Boxscore,Odds
2009-2010 Regular Season,10/28/09,Indiana,Road,32,33,29,15,,,,,109,240,39,73,10,18,21,25,6,34,40,23,26,1,25,4,109,100.8,100.8,108.1,119.0,3+,D.Granger,T.Murphy,R.Hibbert,B.Rush,T.Ford,Mike Callahan,Zach Zarba,6.5,6.5,210,05 / 205.5 / 206,205.5,300,,,
2009-2010 Regular Season,10/28/09,Atlanta,Home,29,37,29,25,,,,,120,240,46,87,7,12,21,29,8,27,35,30,25,16,10,6,120,100.8,100.8,119.0,108.1,3+,M.Williams,J.Smith,A.Horford,J.Johnson,M.Bibby,,Olandis Poole,210,-6.5,210,9.5  / -8.5  / -8,-7.5,-360,,Boxscore,Odds
