DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,MOVEMENTS,CLOSING ODDS,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2013-2014 Regular Season,10/29/2013,Orlando,Road,18,26,20,23,,,,,87,240,36,93,9,19,6,10,13,26,39,17,26,10,17,19,6,87,96.5,96.5,90.2,100.6,3+,Jason Maxiell,Maurice Harkless,Nikola Vucevic,Arron Afflalo,Jameer Nelson,Rodney Mott,Pat Fraher,187,11.0,187.0,188 / 189 / 189.5,189.0,715,94.5,,
2013-2014 Regular Season,10/29/2013,Indiana,Home,23,17,29,28,,,,,97,240,34,71,7,17,22,32,10,34,44,17,13,4,20,21,18,97,96.5,96.5,100.6,90.2,3+,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,,Matt Boland,-11,-11.0,187.0,-12  / -11.5  / -12 ,-12.5,-1050,-10 -15,Boxscore,Odds
2013-2014 Regular Season,10/29/2013,Chicago,Road,15,18,25,37,,,,,95,240,35,83,7,26,18,23,11,30,41,23,27,11,18,19,4,95,98.6,98.6,96.4,108.5,3+,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,Sean Corbin,Joe Crawford,187.5,5.5,187.5,188 / 189 / 188.5,188.5,189,93.5,,
2013-2014 Regular Season,10/29/2013,Miami,Home,17,37,24,29,,,,,107,240,37,72,11,20,22,29,5,35,40,26,21,10,18,20,7,107,98.6,98.6,108.5,96.4,3+,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,,Mark Lindsay,-5.5,-5.5,187.5,-4.5  / -5  / -5.5 ,-5.0,-225,+3 -25,Boxscore,Odds
2013-2014 Regular Season,10/29/2013,LA Clippers,Road,30,27,22,24,,,,,103,240,41,83,8,21,13,23,10,30,40,27,21,11,16,16,4,103,100.4,100.4,102.6,115.6,3+,Jared Dudley,Blake Griffin,DeAndre Jordan,JJ Redick,Chris Paul,Dan Crawford,Eric Lewis,-8,-8.0,197.0,-9.5  / -10  / -9.5 ,-10.0,-575,-5.5 -20,,
2013-2014 Regular Season,10/29/2013,LA Lakers,Home,28,27,20,41,,,,,116,240,42,93,14,29,18,28,18,34,52,23,23,8,19,19,6,116,100.4,100.4,115.6,102.6,3+,Nick Young,Shawne Williams,Pau Gasol,Steve Blake,Steve Nash,,Kevin Scott,197,8.0,197.0,201.5 / 201 / 201.5,202.5,435,103.5o15,Boxscore,Odds
2013-2014 Regular Season,10/30/2013,Brooklyn,Road,26,22,22,24,,,,,94,240,33,82,9,24,19,24,9,28,37,24,27,8,15,15,8,94,93.8,93.8,100.2,104.5,3+,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,Ron Garretson,Zach Zarba,-3.0,-3.0,196.0,-3.5  / -3.5 -12 / -3.5 ,-3.0,-150,-3 -15,,
2013-2014 Regular Season,10/30/2013,Cleveland,Home,27,22,30,19,,,,,98,240,35,84,5,15,23,34,16,32,48,21,20,7,11,14,3,98,93.8,93.8,104.5,100.2,3+,Earl Clark,Tristan Thompson,Anderson Varejao,Dion Waiters,Kyrie Irving,,Olandis Poole,196.0,3.0,196.0,196 / 195 / 194.5,194.0,130,98,Boxscore,Odds
2013-2014 Regular Season,10/30/2013,Miami,Road,14,35,45,16,,,,,110,240,42,85,16,40,10,13,7,24,31,30,25,7,19,19,0,110,99.3,99.3,110.8,114.8,B2B,LeBron James,Udonis Haslem,Chris Bosh,Roger Mason Jr.,Mario Chalmers,Bennett Salvatore,Leon Wood,-10,-10.0,196.5,-10 -11 / -10  / -9.5 ,-9.5,-625,-9.5 ,,
2013-2014 Regular Season,10/30/2013,Philadelphia,Home,33,18,34,29,,,,,114,240,43,80,8,21,20,24,8,32,40,24,21,16,18,18,1,114,99.3,99.3,114.8,110.8,3+,Evan Turner,Thaddeus Young,Spencer Hawes,James Anderson,Michael Carter-Williams,,JT Orr,196.5,10.0,196.5,195.5 / 196 / 195,195.5,465,97,Boxscore,Odds
2013-2014 Regular Season,10/30/2013,Boston,Road,26,11,34,16,,,,,87,240,32,66,3,13,20,29,7,26,33,15,27,10,22,22,7,87,92.0,92.0,94.5,101.1,3+,Gerald Wallace,Brandon Bass,Vitor Faverani,Jeff Green,Avery Bradley,Tony Brothers,Leroy Richardson,190.0,8.0,190.0,189.5o17 / 190 / 190.5,190.0,295,93.5,,
2013-2014 Regular Season,10/30/2013,Toronto,Home,21,28,22,22,,,,,93,240,38,86,5,17,12,23,19,29,48,15,25,9,17,18,6,93,92.0,92.0,101.1,94.5,3+,Rudy Gay,Amir Johnson,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,,Steven Anderson,-8.0,-8.0,190.0,-8  / -8.5  / -8.5 -09,-8.0,-365,-1.5 -15,Boxscore,Odds
2013-2014 Regular Season,10/30/2013,Washington,Road,22,21,30,29,,,,,102,240,34,78,10,25,24,32,13,25,38,23,30,5,16,17,3,102,95.4,95.4,106.9,118.4,3+,Trevor Ariza,Trevor Booker,Nene,Bradley Beal,John Wall,Michael Smith,Tom Washington,190.5,3.0,190.5,190o13 / 190.5 / 190,189.0,120,93,,
2013-2014 Regular Season,10/30/2013,Detroit,Home,25,30,26,32,,,,,113,240,39,78,9,24,26,33,12,32,44,24,27,6,18,19,4,113,95.4,95.4,118.4,106.9,3+,Josh Smith,Greg Monroe,Andre Drummond,Chauncey Billups,Will Bynum,,Karl Lane,-3,-3.0,190.5,-3  / -3.5  / -3 ,-2.5,-140,+2.5 ,Boxscore,Odds
2013-2014 Regular Season,10/30/2013,Milwaukee,Road,18,13,33,19,,,,,83,240,34,74,5,16,10,12,5,26,31,19,22,10,23,24,4,83,94.5,94.5,87.8,95.2,3+,Caron Butler,Khris Middleton,Larry Sanders,Brandon Knight,O.J. Mayo,Rodney Mott,Tony Brown,196.0,9.0,196.0,195.5 / 194.5 / 196,196.5,303,97,,
