DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,MOVEMENTS,CLOSING ODDS,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2015-2016 Regular Season,10/27/2015,Detroit,Road,25,23,34,24,,,,,106,240,37,96,12,29,20,26,23,36,59,23,15,5,15,15,3,106,95.3,95.3,111.2,98.6,3+,Marcus Morris,Ersan Ilyasova,Andre Drummond,Kentavious Caldwell-Pope,Reggie Jackson,Michael Smith,Eli Roe,197.5,7.0,197.5,197 / 197.5 / 197,196.5,+255,98,,
2015-2016 Regular Season,10/27/2015,Atlanta,Home,25,18,23,28,,,,,94,240,37,82,8,27,12,15,7,33,40,22,25,9,15,15,4,94,95.3,95.3,98.6,111.2,3+,Kent Bazemore,Paul Millsap,Al Horford,Kyle Korver,Jeff Teague,,Zach Zarba,-7,-7.0,197.5,-7 -06 / -6.5  / -6.5 -15,-7.0,-320,-7 -15,Boxscore,Odds
2015-2016 Regular Season,10/27/2015,Cleveland,Road,17,23,28,27,,,,,95,240,38,94,9,29,10,17,11,39,50,26,21,5,10,11,7,95,100.0,100.0,95.0,97.0,3+,LeBron James,Kevin Love,Timofey Mozgov,J.R. Smith,Mo Williams,Scott Foster,Mark Ayotte,197.5,2.0,197.5,198o16 / 198.5 / 199,198.5,+160,97o15,,
2015-2016 Regular Season,10/27/2015,Chicago,Home,26,20,25,26,,,,,97,240,37,87,7,19,16,23,7,40,47,13,22,6,13,13,10,97,100.0,100.0,97.0,95.0,3+,Tony Snell,Nikola Mirotic,Pau Gasol,Jimmy Butler,Derrick Rose,,Ben Taylor,-2.0,-2.0,197.5,-4 -15 / -4 -09 / -4 ,-4.0,-180,PK ,Boxscore,Odds
2015-2016 Regular Season,10/27/2015,New Orleans,Road,35,14,26,20,,,,,95,240,35,83,6,18,19,27,8,25,33,21,26,9,18,19,3,95,100.6,100.6,94.4,110.3,3+,Dante Cunningham,Anthony Davis,Kendrick Perkins,Eric Gordon,Nate Robinson,James Capers,Derrick Collins,214.5,9.5,214.5,215.5 / 215 / 215.5,215.0,+510,108,,
2015-2016 Regular Season,10/27/2015,Golden State,Home,39,20,35,17,,,,,111,240,41,96,9,30,20,22,21,35,56,29,29,8,20,20,7,111,100.6,100.6,110.3,94.4,3+,Harrison Barnes,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,,Scott Twardoski,-9.5,-9.5,214.5,-10.5 -05 / -10.5  / -10.5 -09,-10.5,-710,-3 ,Boxscore,Odds
2015-2016 Regular Season,10/28/2015,Washington,Road,31,22,12,23,,,,,88,240,33,84,7,28,15,25,15,34,49,17,14,8,17,18,9,88,97.6,97.6,90.2,89.2,3+,Otto Porter,Kris Humphries,Marcin Gortat,Bradley Beal,John Wall,Jason Phillips,Eric Lewis,-3.5,-3.5,204.5,-3.5  / -4  / -4 -15,-4.0,-180,-2.5 ,,
2015-2016 Regular Season,10/28/2015,Orlando,Home,29,22,16,20,,,,,87,240,37,100,5,26,8,12,17,39,56,20,22,9,14,16,6,87,97.6,97.6,89.2,90.2,3+,Evan Fournier,Tobias Harris,Nikola Vucevic,Victor Oladipo,Elfrid Payton,,Dedric Taylor,204.5,3.5,204.5,204 / 203.5 / 203,202.5,+160,100.5,Boxscore,Odds
2015-2016 Regular Season,10/28/2015,Philadelphia,Road,26,14,27,28,,,,,95,240,34,83,7,22,20,23,14,32,46,12,22,11,22,24,6,95,100.5,100.5,94.5,111.5,3+,Hollis Thompson,Nerlens Noel,Jahlil Okafor,JaKarr Sampson,Isaiah Canaan,Rodney Mott,Eli Roe,198,11.0,198.0,,198.0,+800,98.5,,
2015-2016 Regular Season,10/28/2015,Boston,Home,21,30,28,33,,,,,112,240,39,85,8,24,26,27,10,31,41,31,23,10,17,17,7,112,100.5,100.5,111.5,94.5,3+,Jae Crowder,David Lee,Tyler Zeller,Avery Bradley,Marcus Smart,,Zach Zarba,-11,-11.0,198.0,-11.5  / -12.5  / -12.5 -05,-12.5,-1300,-4.5 ,Boxscore,Odds
